"Age","Region","YearsExperience","YearsCurrentJob","JobDescription","JobType","Happiness","Income","Gender","SwitchedJobsLast6Months"
"27 - 30","CABA","10+","2 - 3","SysAdmin / DevOps","Full-Time",2,38571.4285714286,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","Developer","Full-Time",3,31428.5714285714,"M",0
"37 - 40","CABA","10+","Menos de un año","SysAdmin / DevOps","Full-Time",5,34900,"M",1
"41 - 45","Santa Fe","10+","5 - 6","Infosec","Full-Time",4,30000,"M",0
"37 - 40","Cordoba","10+","10+","SysAdmin / DevOps","Freelance",3,60000,"M",0
"34 - 36","San Juan","5 - 7","1 - 2","Developer","Remoto (empresa de otro país)",4,27142.8571428571,"M",0
"31 - 33","GBA","3 - 5","4 - 5","Developer","Full-Time",4,29608.5714285714,"M",0
"37 - 40","CABA","10+","10+","Developer","Freelance",1,20000,"M",0
"31 - 33","GBA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",4,28571.4285714286,"M",0
"27 - 30","GBA","3 - 5","1 - 2","Developer","Full-Time",4,28571.4285714286,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","Architect","Full-Time",3,57142.8571428571,"M",0
"24 - 26","CABA","1 - 2","Menos de un año","Developer","Full-Time",4,28571.4285714286,"F",1
"37 - 40","CABA","8 - 10","Menos de un año","PM","Full-Time",3,27000,"M",1
"31 - 33","CABA","3 - 5","Menos de un año","Developer","Full-Time",3,45500,"M",0
"24 - 26","Cordoba","8 - 10","Menos de un año","Developer","Full-Time",3,45714.2857142857,"M",0
"34 - 36","CABA","10+","3 - 4","IT Manager","Full-Time",4,78571.4285714286,"M",0
"34 - 36","Mendoza","10+","1 - 2","Developer","Full-Time",4,35714.2857142857,"M",0
"37 - 40","CABA","10+","3 - 4","Developer","Remoto (empresa de otro país)",5,117857.142857143,"M",0
"31 - 33","CABA","8 - 10","Menos de un año","PM","Full-Time",3,40000,"M",0
"31 - 33","GBA","8 - 10","Menos de un año","Developer","Full-Time",4,37000,"M",0
"27 - 30","Santa Fe","5 - 7","Menos de un año","Developer","Full-Time",4,29000,"M",1
"34 - 36","GBA","10+","9 - 10","Infosec","Full-Time",3,18000,"M",0
"31 - 33","CABA","5 - 7","2 - 3","QA / Tester","Full-Time",4,37000,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","SysAdmin / DevOps","Full-Time",2,24000,"M",0
"31 - 33","Santa Fe","10+","10+","SysAdmin / DevOps","Full-Time",5,21000,"M",0
"37 - 40","CABA","10+","5 - 6","SysAdmin / DevOps","Full-Time",1,20714.2857142857,"M",0
"34 - 36","Cordoba","10+","8 - 9","SysAdmin / DevOps","Full-Time",2,28571.4285714286,"M",0
"34 - 36","CABA","5 - 7","1 - 2","QA / Tester","Full-Time",2,35714.2857142857,"M",0
"27 - 30","GBA","3 - 5","1 - 2","Desarollo y Mantenimiento de Hardware (Electrónica)","Full-Time",4,22571.4285714286,"F",0
"31 - 33","Santa Fe","5 - 7","3 - 4","SysAdmin / DevOps","Full-Time",4,37142.8571428571,"M",0
"31 - 33","CABA","5 - 7","1 - 2","Developer","Full-Time",2,27142.8571428571,"M",0
"37 - 40","CABA","10+","7 - 8","PM","Freelance",4,65000,"M",0
"31 - 33","CABA","8 - 10","7 - 8","Designer","Full-Time",3,46000,"M",1
"24 - 26","CABA","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",3,17142.8571428571,"M",0
"24 - 26","CABA","5 - 7","3 - 4","Developer","Full-Time",5,51000,"M",0
"37 - 40","Cordoba","10+","5 - 6","Analista","Full-Time",4,28571.4285714286,"M",0
"18 - 20","CABA","3 - 5","Menos de un año","Developer","Remoto (empresa de otro país)",2,15000,"M",1
"27 - 30","CABA","10+","2 - 3","Analista","Full-Time",3,24640,"M",0
"37 - 40","CABA","10+","2 - 3","SysAdmin / DevOps","Full-Time",2,32562.8571428571,"M",0
"24 - 26","CABA","5 - 7","Menos de un año","Developer","Full-Time",4,50000,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","Infosec","Full-Time",3,37142.8571428571,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,52857.1428571429,"M",0
"31 - 33","CABA","8 - 10","3 - 4","SysAdmin / DevOps","Full-Time",2,42857.1428571429,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Infosec","Full-Time",1,14285.7142857143,"M",0
"27 - 30","CABA","1 - 2","1 - 2","Developer","Full-Time",1,15428.5714285714,"M",0
"34 - 36","CABA","10+","3 - 4","Manager","Full-Time",3,42250,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Developer","Freelance",5,66428.5714285714,"M",0
"21 - 23","CABA","1 - 2","Menos de un año","Developer","Full-Time",3,21214.2857142857,"M",0
"27 - 30","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",3,24771.4285714286,"M",0
"31 - 33","CABA","5 - 7","2 - 3","Developer","Full-Time",4,22000,"M",0
"27 - 30","Tucuman","3 - 5","4 - 5","Developer","Full-Time",3,22857.1428571429,"M",1
"24 - 26","CABA","5 - 7","1 - 2","Developer","Full-Time",4,30000,"M",0
"34 - 36","Santa Fe","8 - 10","1 - 2","Networking","Full-Time",3,25714.2857142857,"M",0
"37 - 40","CABA","8 - 10","6 - 7","SysAdmin / DevOps","Full-Time",4,31428.5714285714,"M",0
"27 - 30","Santa Fe","5 - 7","2 - 3","Developer","Freelance",3,34285.7142857143,"M",0
"37 - 40","CABA","10+","8 - 9","SysAdmin / DevOps","Full-Time",2,39000,"M",0
"31 - 33","CABA","8 - 10","6 - 7","HelpDesk","Full-Time",3,25000,"M",0
"24 - 26","Cordoba","Menos de un año","Menos de un año","Developer","Full-Time",4,13000,"M",0
"27 - 30","CABA","5 - 7","2 - 3","Developer","Full-Time",4,40000,"M",0
"27 - 30","CABA","1 - 2","Menos de un año","Developer","Full-Time",3,19714.2857142857,"M",0
"27 - 30","CABA","5 - 7","5 - 6","Developer","Full-Time",3,25714.2857142857,"M",0
"27 - 30","CABA","5 - 7","4 - 5","SysAdmin / DevOps","Full-Time",4,31428.5714285714,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","SysAdmin / DevOps","Full-Time",3,24000,"M",1
"18 - 20","CABA","Menos de un año","Menos de un año","Developer","Full-Time",3,13000,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Tech Lead","Full-Time",2,41142.8571428571,"M",0
"37 - 40","CABA","10+","10+","Full Stack Developer","Full-Time",3,37142.8571428571,"M",0
"24 - 26","CABA","3 - 5","3 - 4","Developer","Full-Time",2,28571.4285714286,"M",0
"27 - 30","CABA","3 - 5","3 - 4","Developer","Full-Time",2,23892.8571428571,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,25714.2857142857,"F",0
"31 - 33","CABA","10+","1 - 2","SysAdmin / DevOps","Full-Time",2,34285.7142857143,"M",0
"31 - 33","CABA","10+","Menos de un año","Consultor","Full-Time",3,30000,"M",1
"21 - 23","Cordoba","3 - 5","2 - 3","FrontEnd Developer","Full-Time",4,26812.8571428571,"M",0
"27 - 30","GBA","8 - 10","5 - 6","PM","Full-Time",4,42000,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Developer","Full-Time",4,24000,"M",0
"21 - 23","CABA","3 - 5","Menos de un año","Designer","Full-Time",4,20000,"M",0
